  Session log : spot_check_logs\log3.txt  (started 2026-06-01 13:43:47)

  Trading Pipeline — PAPER (mock data, no real orders)
  Watching    : AAPL, TSLA, NVDA, MSTR, COIN
  Trigger     : price > rolling_mean + 2.0 * std_dev
  AI gate     : confidence > 0.85
  Order cap   : 10% of balance (fractional shares)
  Take-profit : +3%  |  Stop-loss : -5% (AI-assisted)
  Press Ctrl+C to stop.

  [RAW TICK] 13:43:48  NVDA    bid=$875.1
  [RAW TICK] 13:43:48  AAPL    bid=$195.02
  [RAW TICK] 13:43:48  AAPL    bid=$194.89
  [RAW TICK] 13:43:48  COIN    bid=$100.26
  [RAW TICK] 13:43:48  AAPL    bid=$194.93
  [RAW TICK] 13:43:48  MSTR    bid=$100.0
  [RAW TICK] 13:43:48  NVDA    bid=$874.99
  [RAW TICK] 13:43:48  MSTR    bid=$100.38
  [RAW TICK] 13:43:48  AAPL    bid=$195.25
  [RAW TICK] 13:43:48  MSTR    bid=$100.58
  [RAW TICK] 13:43:48  AAPL    bid=$195.23
  [RAW TICK] 13:43:49  TSLA    bid=$249.94
  [RAW TICK] 13:43:49  TSLA    bid=$250.01
  [RAW TICK] 13:43:49  NVDA    bid=$874.68
  [RAW TICK] 13:43:49  COIN    bid=$100.26
  [RAW TICK] 13:43:49  AAPL    bid=$195.07
  [RAW TICK] 13:43:49  AAPL    bid=$195.15
  [RAW TICK] 13:43:49  AAPL    bid=$195.22
  [RAW TICK] 13:43:49  TSLA    bid=$249.94
  [RAW TICK] 13:43:49  MSTR    bid=$100.75
  [RAW TICK] 13:43:49  TSLA    bid=$250.07
  [RAW TICK] 13:43:49  MSTR    bid=$100.66
  [RAW TICK] 13:43:49  AAPL    bid=$195.21
  [RAW TICK] 13:43:49  COIN    bid=$100.23
  [RAW TICK] 13:43:49  NVDA    bid=$874.71
  [RAW TICK] 13:43:49  AAPL    bid=$195.11
  [RAW TICK] 13:43:49  AAPL    bid=$194.94
  [RAW TICK] 13:43:49  NVDA    bid=$874.77
  [RAW TICK] 13:43:49  MSTR    bid=$100.46
  [RAW TICK] 13:43:49  NVDA    bid=$874.74
  [RAW TICK] 13:43:49  AAPL    bid=$195.3
  [RAW TICK] 13:43:49  COIN    bid=$100.34
  [RAW TICK] 13:43:49  AAPL    bid=$195.24
  [RAW TICK] 13:43:49  AAPL    bid=$195.41
  [RAW TICK] 13:43:49  NVDA    bid=$874.81
  [RAW TICK] 13:43:49  MSTR    bid=$100.44
  [RAW TICK] 13:43:50  COIN    bid=$100.54
  [RAW TICK] 13:43:50  TSLA    bid=$250.05
  [RAW TICK] 13:43:50  NVDA    bid=$874.62
  [RAW TICK] 13:43:50  AAPL    bid=$195.34
  [RAW TICK] 13:43:50  MSTR    bid=$100.47
  [RAW TICK] 13:43:50  NVDA    bid=$874.39
  [RAW TICK] 13:43:50  AAPL    bid=$195.41
  [RAW TICK] 13:43:50  COIN    bid=$100.35
  [RAW TICK] 13:43:50  COIN    bid=$100.24
  [RAW TICK] 13:43:50  COIN    bid=$100.37
  [RAW TICK] 13:43:50  AAPL    bid=$195.67
  [RAW TICK] 13:43:50  NVDA    bid=$874.26
  [RAW TICK] 13:43:50  TSLA    bid=$249.89
  [RAW TICK] 13:43:50  NVDA    bid=$874.39
  [RAW TICK] 13:43:50  NVDA    bid=$874.46
  [RAW TICK] 13:43:50  AAPL    bid=$195.6
  [RAW TICK] 13:43:50  NVDA    bid=$875.43
  [RAW TICK] 13:43:50  NVDA    bid=$875.54
  [RAW TICK] 13:43:50  AAPL    bid=$195.62
  [RAW TICK] 13:43:50  MSTR    bid=$100.5
  [RAW TICK] 13:43:50  AAPL    bid=$197.01

  [THRESHOLD TRIP] AAPL  bid=$197.01  band=$196.24  (mean=195.33, sigma=0.4536, breach=3.70σ)
  Consulting Gemini 2.5 Flash...
  [AI VERDICT] action=HOLD  confidence=0.70  urgency=NONE  code=BREAKOUT_VOL_UNCLEAR
  [SKIPPED] Not enough conviction — staying flat.
  [RAW TICK] 13:43:55  MSTR    bid=$100.74
  [RAW TICK] 13:43:55  COIN    bid=$100.63
  [RAW TICK] 13:43:55  MSTR    bid=$100.59
  [RAW TICK] 13:43:56  COIN    bid=$100.44
  [RAW TICK] 13:43:56  AAPL    bid=$196.98
  [RAW TICK] 13:43:56  COIN    bid=$100.32
  [RAW TICK] 13:43:56  COIN    bid=$100.48
  [RAW TICK] 13:43:56  TSLA    bid=$250.08
  [RAW TICK] 13:43:56  NVDA    bid=$875.46
  [RAW TICK] 13:43:56  MSTR    bid=$100.35
  [RAW TICK] 13:43:56  COIN    bid=$100.36
  [RAW TICK] 13:43:56  MSTR    bid=$100.27
  [RAW TICK] 13:43:56  TSLA    bid=$249.99
  [RAW TICK] 13:43:56  MSTR    bid=$100.11
  [RAW TICK] 13:43:56  NVDA    bid=$875.63
  [RAW TICK] 13:43:56  TSLA    bid=$249.84
  [RAW TICK] 13:43:56  AAPL    bid=$196.91
  [RAW TICK] 13:43:56  TSLA    bid=$249.97
  [RAW TICK] 13:43:56  MSTR    bid=$100.37
  [RAW TICK] 13:43:56  COIN    bid=$100.34
  [RAW TICK] 13:43:56  COIN    bid=$100.4
  [RAW TICK] 13:43:56  MSTR    bid=$100.22
  [RAW TICK] 13:43:56  MSTR    bid=$100.41
  [RAW TICK] 13:43:56  NVDA    bid=$875.85
  [RAW TICK] 13:43:56  MSTR    bid=$100.46
  [RAW TICK] 13:43:56  MSTR    bid=$100.06
  [RAW TICK] 13:43:56  MSTR    bid=$100.16
  [RAW TICK] 13:43:57  AAPL    bid=$196.83
  [RAW TICK] 13:43:57  MSTR    bid=$100.29
  [RAW TICK] 13:43:57  COIN    bid=$100.44
  [RAW TICK] 13:43:57  COIN    bid=$100.45
  [RAW TICK] 13:43:57  TSLA    bid=$249.88
  [RAW TICK] 13:43:57  MSTR    bid=$100.61
  [RAW TICK] 13:43:57  NVDA    bid=$875.95
  [RAW TICK] 13:43:57  TSLA    bid=$249.84
  [RAW TICK] 13:43:57  AAPL    bid=$197.04
  [RAW TICK] 13:43:57  COIN    bid=$100.48
  [RAW TICK] 13:43:57  AAPL    bid=$196.84
  [RAW TICK] 13:43:57  AAPL    bid=$196.92
  [RAW TICK] 13:43:57  MSTR    bid=$100.78
  [RAW TICK] 13:43:57  MSTR    bid=$100.61
  [RAW TICK] 13:43:57  NVDA    bid=$876.06
  [RAW TICK] 13:43:57  TSLA    bid=$249.94
  [RAW TICK] 13:43:57  NVDA    bid=$876.16
  [RAW TICK] 13:43:57  MSTR    bid=$100.56
  [RAW TICK] 13:43:57  TSLA    bid=$250.28

  [THRESHOLD TRIP] TSLA  bid=$250.28  band=$250.21  (mean=249.98, sigma=0.1164, breach=2.58σ)
  Consulting Gemini 2.5 Flash...
  [AI VERDICT] action=HOLD  confidence=0.40  urgency=NONE  code=BREAKOUT_NO_VOLUME_CONFIRMATION
  [SKIPPED] Not enough conviction — staying flat.
  [RAW TICK] 13:44:03  NVDA    bid=$875.9
  [RAW TICK] 13:44:03  TSLA    bid=$250.33
  [RAW TICK] 13:44:03  NVDA    bid=$875.74
  [RAW TICK] 13:44:03  AAPL    bid=$197.12
  [RAW TICK] 13:44:03  MSTR    bid=$100.43
  [RAW TICK] 13:44:03  MSTR    bid=$100.27
  [RAW TICK] 13:44:03  NVDA    bid=$875.74
  [RAW TICK] 13:44:03  TSLA    bid=$250.33
  [RAW TICK] 13:44:03  MSTR    bid=$100.53
  [RAW TICK] 13:44:03  TSLA    bid=$250.17
  [RAW TICK] 13:44:03  AAPL    bid=$197.07
  [RAW TICK] 13:44:03  MSTR    bid=$100.4
  [RAW TICK] 13:44:03  NVDA    bid=$875.76
  [RAW TICK] 13:44:03  MSTR    bid=$100.27
  [RAW TICK] 13:44:03  NVDA    bid=$875.84
  [RAW TICK] 13:44:03  NVDA    bid=$875.76
  [RAW TICK] 13:44:03  NVDA    bid=$875.73
  [RAW TICK] 13:44:03  MSTR    bid=$100.28
  [RAW TICK] 13:44:03  AAPL    bid=$197.17
  [RAW TICK] 13:44:03  NVDA    bid=$875.91
